OCCUPATION,FREQUENCY
null,1108
waiter ,383
laborer ,355
porter ,332
seaman ,185
coachman ,104
barber ,102
jobbing ,101
hod carrier ,92
wood sawyer ,75
carter ,72
labor ,56
stevedore ,52
various ,52
shoemaker ,51
porter in store ,45
whitewasher ,43
brick maker ,37
rag & bone,36
bootmaker ,33
clothes dealer ,33
waterman ,31
public waiter ,30
hair dresser ,29
not able ,29
lab ,26
oysterman ,24
works on wharf ,23
musician ,22
drives cart ,20
public porter ,20
carter his own ,19
carpenter ,18
steward ,18
tanner ,15
boot cleaner ,13
farmer ,13
sailor ,13
tailor ,13
brick moulder ,12
cabinet maker ,12
drayman ,12
oyster house ,12
brick yard ,11
cook ,11
shoe maker ,11
cake seller ,10
carman ,10
drives dray ,10
huckster,9
plasterer ,9
eating house ,8
herb doctor ,8
house carpenter ,8
puts in coal ,8
sail maker ,8
works in market ,8
engineer ,7
glazier ,7
night work ,7
oyster peddler ,7
painter ,7
sink cleaner ,7
traveling preacher ,7
washer ,7
clergyman ,6
dealer ,6
hominy man ,6
school teacher ,6
sweep master ,6
boot black ,5
coal carrier ,5
confectioner ,5
grain carrier ,5
hominy dealer ,5
laborer in lumber yard ,5
porter irregular ,5
rag picker ,5
service ,5
stove dealer ,5
b maker ,4
b maker jobbing ,4
basket maker ,4
boatman ,4
boxman ,4
cake baker ,4
hostler ,4
porter cant tell ,4
preacher ,4
rag dealer ,4
raises hogs ,4
refectory ,4
sexton ,4
undertaker ,4
washing ,4
black smith ,3
boot ,3
brick mason ,3
brickmaker ,3
clothes seller ,3
coffee roaster ,3
currier ,3
dealer in oyster ,3
dentist ,3
draper ,3
drives coal cart ,3
drives fur car ,3
laborer in coal yard ,3
laborer irregular ,3
livery stable ,3
oyster ,3
oyster seller ,3
poeter ,3
putting in coal ,3
rag & bone etc ,3
scourer ,3
ship carpenter ,3
shop keeper ,3
stove store ,3
various irregular ,3
various kinds ,3
well digger ,3
works in ten pin alley ,3
b maker hominy ,2
bar tender ,2
barber cant tell ,2
barber dont know ,2
biscuit baker ,2
boot & shoemaker,2
boot blacker ,2
brick ,2
brick maker jobbing ,2
carting ,2
clothing seller,2
coal yard ,2
cobbler ,2
confectionary ,2
days work ,2
dealer in s hand clothes ,2
drives furniture car ,2
dyer ,2
fiddler ,2
furniture dealer ,2
gentleman ,2
grocer ,2
hair picker ,2
hat dyer,2
hat presser ,2
hod car ,2
ice cream maker ,2
in store ,2
janitor ,2
jobber ,2
jobbing etc ,2
lab when able ,2
lumber yard ,2
man helpless ,2
music teacher ,2
packer ,2
past labor ,2
past work ,2
perfumery ,2
porter house ,2
private teacher ,2
salt carrier ,2
sewing ,2
shave shingles ,2
sn hand clothes dealer ,2
sons carter ,2
stevedore cant tell ,2
stevedore irregular ,2
stone dealer ,2
stove ,2
sweep ,2
tailor cant tell ,2
tailor irregular ,2
teamster ,2
various very little ,2
waiter in oyster cellar ,2
waiter on steam boat ,2
wants situation ,2
watchman ,2
whitewashing ,2
work stove store ,2
agent for ohio public school ,1
agent for the rent of the row ,1
assembly rooms ,1
at college ,1
at mcburneys confectionary ,1
at service ,1
attends at mens library ,1
attends the sick ,1
baker ,1
baker unemployed ,1
barber bleeder ,1
blacksmith ,1
blind not able ,1
bmaker ,1
boarding house ,1
boat & shoemaker,1
book maker ,1
boot & shoemakers,1
boot maker,1
border labor ,1
botanic physician ,1
bottler ,1
box dealer ,1
brass founder ,1
brick layer ,1
brick maker in store ,1
bricklayer ,1
builder ,1
cab driver,1
cabinet ,1
cabinet maker now porter ,1
cabman ,1
cake peddlers ,1
cake seller average ,1
cant tell ,1
car man ,1
carpenter when able ,1
carries salt ,1
carter in lumber yard ,1
carver ,1
chair bottomer ,1
chaise driver ,1
chandler ,1
chimney sweeper ,1
china packer ,1
china store ,1
clergyman itinerent ,1
clerk ,1
clock printer by trade ,1
cloth dealer ,1
collecter ,1
commission merchant ,1
cook at hotel ,1
cook on boat ,1
cooking ,1
cooks ,1
crippled in his hands ,1
cupper bleeder ,1
cuts rags ,1
day work ,1
dealer hominey ,1
dealer in cakes ,1
dealer in medicines etc ,1
dealer in rope boxes ,1
dealer in second hand cloths ,1
dealer in tobacco ,1
dealer in tow linen c ,1
dealer pretty good ,1
distiller ,1
does nothing ,1
dog catcher ,1
door mat maker ,1
dress maker,1
drives fur cart his own ,1
drives horse ,1
drives ice cart in summer winter cook ,1
drives oyster cart,1
drug grinder ,1
dyer scouner ,1
eating cellar ,1
eating establishment ,1
eating stand in market ,1
fireman steamboat ,1
fluid dealer ,1
foreman in lumber yard ,1
funiture cart his own ,1
gardener ,1
