Last Name,First Name,Full name,Maiden Name (Last),Maiden Name,Birth Date,Death Date,Birth place,Death place,Gender,Associated Monthly Meeting,Notes
Abbatt,Edward,"Abbatt, Edward",,,1860-03-02,1939-12-20,"Bolton, Lancashire, England","Colwyn Bay, England",male,,"s/o William and Ann Abbatt.  He studied at Bootham School and then joined his father business.  He and his wife presided over a Bible Class at the YWCA.  He married 1st, Jane Baxter, who died young.  After he retired he went to live at Colwyn Bay and served as an Elder in his Meeting."
Abbatt,James,"Abbatt, James",,,1831-01-01,1895-03-01,"Bolton, Lancashire, England","Sibford, Oxfordshire, England",male,Banbury MM,"s/o Benjamin and Elizabeth Abbatt.  He studied at Ackworth School.  He married 1st, Mary Hannah Lamb, (d. 10/10/1888), dt/o John Lamb, at Sibford Gower, on 4/11/1860.He was recorded a Minister in 1884.  He married 2nd, Anna Mary Enock, dt/o Ezra Enock, at Sibford Gower, on 8/13/1890."
Abbatt,Walter,"Abbatt, Walter",,,1862-12-21,1937-01-21,"Bolton, Lancashire, England","London, England",male,Tottenham MM,"s/o William and Ann Abbatt.  He studied at Ackworth and Bootham Schools.  He was a Member of Meetings in Clevedon and Bristol, and in 1904 married Maud Mary Green, (d. 1931).  He served as treasurer of Tottenham Monthly Meeting for 21 years and as an Elder and Overseer at New Barnet Monthly Meeting.  He died after a street accident."
Abbot,Abigail,"Abbot, Abigail",Boles,"Boles, Abigail",,,Ireland,"Moeg, Munster, Ireland",female,,"dt/o Richard Boles.  She was ""convinced"" ca. 1675 by William Bingley.  She spoke as a Minister in ca. 1683 and traveled in Ireland and England.  She married to a man who was not a Friend, by a Priest and repented.  She died in 1717."
Abbott,George,"Abbott, George",,,1849-09-11,1915-12-18,"Salem, New Jersey","Moorestown, New Jersey",male,Orlando MM Florida,"s/o George and Ruth Smith Baker Abbott.  He married Elizabeth Eldridge Lippincott, in 1872 and they had 5 children.  He founded Abbott's Alderney Dairies.  He served in a Committee of Moorestown Firends' Academy, Westtown School and a representative of Friends Arch Street Yearly Meeting in Philadelphia.  He was a founder of the Friends Meeting in Orlando, Florida."
Abbott,John,"Abbott, John",,,1752-07-17,1813-01-03,"St. Ives, Huntingdonshire, England","Bath, Devonshire, England",male,West Devon MM,"s/o Samuel and Hannah Abbott.  He married 1st, Ann King, (1762-1791), of Earith, on 9/9/1784, and they had 4 children.  He married 2nd, Sarah Tregelles, (1764-1802), dt/o Joseph and Sarah Tregelles, at Falmouth, on 7/16/1794, and they had 3 children.  He married 3rd, Sarah Wilson, (1759-1843), dt/o Isaac and Rachel Wilson, at Kendal, on 3/10/1806.  He was recorded a Minister in 1783 and he traveled to Scotland, Ireland and to London in 1812.  He was buried at Bathford."
Abbott,Sarah,"Abbott, Sarah",Wilson,"Wilson, Sarah",1759-06-15,1843-07-01,"Kendal, England","Plymouth, England",female,West Devon MM,"dt/o Isaac and Rachel Wilson.  She was acknowledged a Minister in 1794 and served for about 49 years.  She married John Abbott, (1752-1813), (his 3rd wife), s/o Samuel and Hannah Abbott, at Kendal, on 3/10/1806.  She visited Meetings in varius parts of the country.  She was interred in Friends' burial ground, Plymouth."
Abbott,Sarah,"Abbott, Sarah",Tregelles,"Tregelles, Sarah",1764-05-09,1802-05-03,"Falmouth, England","Plymouth, England",female,Cornwall MM,"dt/o Joseph and Sarah (Hingston) Tregelles.  She married John Abbott, s/o Samuel and Hannah Abbott, at Falmouth, on 7/16/1794, and they had 3 children.  In about 1800 she visited Ireland with John and while there she ""imbibed the rebellious doctrines of the Irish New-Lights"", according to James Jenkins.  She was buried at Plymouth."
Abraham,Emma Clarke,"Abraham, Emma Clarke",,,,1934-08-08,England,England,female,,"She was born ca. 1850 and  was descended from Margaret Fell, but was not a Member of Friends.  She had purchased Swarthmoor Hall estate in 1913 and made every effort to make it available to those Friends who wished to visit the estate."
Abraham,Rachel,"Abraham, Rachel",Fell,"Fell, Rachel",,,"Swarthmoor Hall, Lancashire, England","Swarthmoor, England",female,,"dt/o Thomas and Margaret (Askew) Fell, born in October 1653 and died in 1732.  She studied at Shacklewell, near London.  She married Daniel Abraham in 1682 and they had 4 children, among them a son John.  She served as Clerk of Swarthmoor Meeting for many years."
