Name(s) of Enslaved Person (Transcribe what is listed),Age listed for Enslaved Person,Freed Age,Assumed Gender of Enslaved Person,Page Number,Image Name (A001870XX_XXX),Date (YYYY-MM-DD),"Place (Township, County, etc)",Place(State),"Transcribed - Name of Slaveholder (Last name, First name)","Unabbreviated - Name of Slaveholder (Last name, First name)",Assumed Gender of Slaveholder,"Transcribed - Witnesses (Last name, First name)","Unabbreviated - Witnesses (ex: ""Sealed and delivered in the Presence of..."") (Last name, First name)",Monthly Meeting,"Transcribed - Monthly Meeting Clerk (Last Name, First Name)","Unabbreviated - Clerk (Last name, First name)",Notes,Indexer initials,Checker initials,,,,,,,,,,,,,,
_,_,_,_,1,A00179697_001,1782-01-30,_,DE?,"Hendry, Matthew;
Hendry, Margaret",,"male(Matthew);
female(Margaret)",,,Duck Creek,,,first half of manumission is cut off,WGC,WGC,,,,,,,,,,,,,,
Margaret,26,26,female,1,A00179697_001,1782-01-31,"Appoquinimik, 
Newcastle County",DE,"Deakyne, Joseph",,male,"Fisher, Finnick; 
Fisher, Joshua",,Duck Creek,,,,WGC,WGC,,,,,,,,,,,,,,
Eleanor,4,18,female,1,A00179697_001,1782-01-31,"Appoquinimik, 
Newcastle County",DE,"Deakyne, Joseph",,male,"Fisher, Finnick; 
Fisher, Joshua",,Duck Creek,,,,WGC,WGC,,,,,,,,,,,,,,
Patrick,9 months,21,male,1,A00179697_001,1782-01-31,"Appoquinimik, 
Newcastle County",DE,"Deakyne, Joseph",,male,"Fisher, Finnick; 
Fisher, Joshua",,Duck Creek,,,,WGC,WGC,,,,,,,,,,,,,,
Ebenezer,36(Ebenezer),36(Ebenezer),male,2,A00179697_002,1782-02-18,Kent County (?),DE,"Fisher, Jabez",,male,"Jay, Baptis; 
Heaverlo, Daniel",,Duck Creek,,,"county is cut off, probably Kent",WGC,WGC,,,,,,,,,,,,,,
John,56(John),56(John),male,2,A00179697_002,1782-02-18,Kent County (?),DE,"Fisher, Jabez",,male,"Jay, Baptis; 
Heaverlo, Daniel",,Duck Creek,,,"county is cut off, probably Kent",WGC,WGC,,,,,,,,,,,,,,
Minta,14,18,female,2-3,A00179697_003,1782-02-27,Dover,DE,"Smithers, Jn.","Smithers, John",male,"Smithers, Nath; 
Smithers, Rachel",,Duck Creek,,,,WGC,WGC,,,,,,,,,,,,,,
Henry,50,50,male,3-4,A00179697_004,1782-03-18,"Murderkill] Hundred, 
Kent County",DE,"Hazle, Benjamin",,male,"Gordon, Polly; 
Mifflin, Warner",,Duck Creek,,,,WGC,WGC,,,,,,,,,,,,,,
Jane,16,18,female,4,A00179697_004,1782-04-13,Kent County,DE,"Beauchamp, John",,male,"Jenkins, Jospeh; 
Mifflin, Warner",,Duck Creek,,,"first witness' name is cut off, probably joseph",WGC,WGC,,,,,,,,,,,,,,
Solomon,38,38,male,5-6,A00179697_005,1782-03-16,"Murderkill Hundred, 
Kent County",DE,"Caldwell, Timothy; 
Caldwell, Sarah",,male; female,"Peterkin, David; 
Gatlin, Franey; 
Dickenson, John; 
Dickenson, Lydia; 
Mifflin, Warner",,Duck Creek,,,,WGC,WGC,,,,,,,,,,,,,,
