Name of Enslaved Person (Transcribe what is listed),Freed Age,Age listed for Enslaved Person,Assumed Gender of Enslaved Person,Page Number,Image Name (A001870XX_XXX),Date (YYYY-MM-DD),"Place (Township, County, etc)",State,"Transcribed - Name of Slaveholder (Last name, First name)","Unabbreviated - Name of Slaveholder (Last name, First name)",Assumed Gender of Slaveholder,"Transcribed - Witnesses (Last name, First name)","Unabbreviated - Witnesses (ex: ""Sealed and delivered in the Presence of..."") (Last name, First name)",Monthly Meeting,"Transcribed - Monthly Meeting Clerk (Last Name, First Name)","Unabbreviated - Clerk (Last name, First name)",Notes,Indexer initials,Checker initials
"This field corresponds to name of the enslaved person listed in the manumission, likely as the slaveholder listed it. If multiple spellings are given, include alternate spellings in parenthesis (e.g. ""Dafney (Daphne)"")","This field corresponds to the age of the enslaved person at which the manumission is listed to go into effect, the age at which their freedom is listed to be granted","This field corresponds to the listed age of the enslaved person at the time of the signing of the manumission, likely as the slaveholder listed it",This field corresponds to the gender of the enslaved person that the metadata collectors assumed when reading the manumission.,"This field corresponds to the page number listed on the physical document (manumission), corresponding to the page in the book of manumissions compiled by Quaker Meeting scribes","This field corresponds to the image name created for the scan of the manumission. If multiples pages, separate with a semicolon ;",This field corresponds to the day the manumission was signed by the slaveholder,"This field corresponds to the location listed in the manumission. Correct misspellings (e.g. ""Bibery"" --> Byberry""",,"This field corresponds to the name of the slaveholder doing the manumitting, as transcribed, on the manumission. If there are multiple people, separate with a semicolon ;","This field corresponds to the unabbreviated, expanded, name of the slaveholder doing the manumitting on the manumission, as determined by metadata collectors (see https://en.wiktionary.org/wiki/Appendix:Abbreviations_for_English_given_names)",This field corresponds to the gender of the slaveholder that metadata collectors assumed when reading the manumission. Genders are assumed by pronouns listed in the manumission and common genders associated with the name listed.,"This field corresponds to names listed in the manumissions under the caveat of ""sealed and delivered in the presence of."" Names are transcribed as they are written in the manumission. Separate multiple names with a semicolon ;","This field corresponds to the unabbreviated, expanded, names listed on the manumission under the caveat of ""sealed and delivered in the presence of."" Unabbreviated names are determined by the metadata collectors",This field corresponds to the name of the Quaker Monthly Meeting that the slaveholder was a part of,This field corresponds to name of the scribe who created the summary of the manumission on the verso of the corresponding manumission. Names are transcribed as they are written in the manumission.,"This field corresponds to the unabbreviated, expanded, name of the scribe listed on the verso of the corresponding manumission, as determined by metadata collectors (see https://en.wiktionary.org/wiki/Appendix:Abbreviations_for_English_given_names)",,,
Samson,--,--,male,1,A00187000_006,1776-03-11,"Bristol, Bucks County",Pennsylvania,"Williams, Enion","Williams, Enion",male,"Hartshorne, Ha; 
Waln, Nicholas; 
Williams, En.","Waln, Nicholas; 
Hartshorne, Hu.;
Williams, Enion",--,,,,ZM,WGC
John,--,--,male,2,A00187000_007,1776-03-11,"Bristol, Bucks County",Pennsylvania,"Williams, Enion","Williams, Enion",male,"Hartshorne, Ha; 
Waln, Nicholas; 
Williams, Ennion","Waln, Nicholas; 
Hartshorne, Hu.;
Williams, Enion",--,,,,ZM,WGC
Nathaniel,26,26,male,3,A00187000_008,1776-03-11,"Bristol, Bucks County",Pennsylvania,"Williams, Enion","Williams, Enion",male,"Hartshorne, Ha; 
Waln, Nicholas; 
Williams, En.","Waln, Nicholas; 
Hartshorne, Hu.;
Williams, Enion",--,,,,ZM,WGC
Levi,--,--,male,4,A00187000_009,1776-03-11,"Bristol, Bucks County",Pennsylvania,"Williams, Enion","Williams, Enion",male,"Hartshorne, Ha; 
Waln, Nicholas; 
Williams, En.","Waln, Nicholas; 
Hartshorne, Hu.;
Williams, Enion",--,,,,ZM,WGC
Samuel,--,--,male,5,A00187000_010,1776-03-11,"Bristol, Bucks County",Pennsylvania,"Williams, Enion","Williams, Enion",male,"Hartshorne, Ha; 
Waln, Nicholas; 
Williams, En.","Waln, Nicholas; 
Hartshorne, Hu.;
Williams, Enion",--,,,,ZM,WGC
Jane,60,60,female,6,A00187000_011,1776-05-03,"Bristol, Bucks County",Pennsylvania,"Bidgood, William","Bidgood, William",male,"Moon, James;
Blakey, William;
Bidgood, William","Moon, James;
Blakey, William;
Bidgood, William",--,,,,ZM,WGC
Peter,49,49,male,7,A00187000_012,1776-08-19,"Falls, Bucks County",Pennsylvania,"Milnor, Joseph","Milnor, Joseph",male,"Moon, James;
Merrick, John;
Milnor, Joseph","Moon, James;
Merrick, John;
Milnor, Joseph",--,,,,ZM,WGC
William,66,66,male,8,A00187000_013,1776-05-03,"Falls, Bucks County",Pennsylvania,"Brown, George","Brown, George",male,"Moon, James;
Brown, George Jr.;
Brown, George","Moon, James;
Brown, George Jr.;
Brown, George",--,,,,ZM,WGC
Tattum,21,21,male,9,A00187000_014,1776-08-19,"Falls, Bucks County",Pennsylvania,"Brown, George","Brown, George",male,"Moon, James;
Blakey, William;
Brown, George","Moon, James;
Blakey, William;
Brown, George",--,,,,ZM,WGC
