Name(s) of Enslaved Person (Transcribe what is listed),Age listed for Enslaved Person,Freed Age,Assumed Gender of Enslaved Person,Page Number,Image Name (A001870XX_XXX),Date (YYYY-MM-DD),"Place (Township, County, etc)",Place(State),"Transcribed - Name of Slaveholder (Last name, First name)","Unabbreviated - Name of Slaveholder (Last name, First name)",Assumed Gender of Slaveholder,"Transcribed - Witnesses (Last name, First name)","Unabbreviated - Witnesses (ex: ""Sealed and delivered in the Presence of..."") (Last name, First name)",Monthly Meeting,"Transcribed - Monthly Meeting Clerk (Last Name, First Name)","Unabbreviated - Clerk (Last name, First name)",Notes,Indexer initials,Checker initials
"This field corresponds to name of the enslaved person listed in the manumission, likely as the slaveholder listed it. If multiple spellings are given, include alternate spellings in parenthesis (e.g. ""Dafney (Daphne)"")","This field corresponds to the listed age of the enslaved person at the time of the signing of the manumission, likely as the slaveholder listed it","This field corresponds to the age of the enslaved person at which the manumission is listed to go into effect, the age at which their freedom is listed to be granted",This field corresponds to the gender of the enslaved person that the metadata collectors assumed when reading the manumission.,"This field corresponds to the page number listed on the physical document (manumission), corresponding to the page in the book of manumissions compiled by Quaker Meeting scribes","This field corresponds to the image name created for the scan of the manumission. If multiples pages, separate with a semicolon ;",This field corresponds to the day the manumission was signed by the slaveholder,"This field corresponds to the location listed in the manumission. Correct misspellings (e.g. ""Bibery"" --> Byberry""","This field corresponds to the state listed in the manumission. Correct misspellings (e.g. ""Bibery"" --> Byberry""","This field corresponds to the name of the slaveholder doing the manumitting, as transcribed, on the manumission. If there are multiple people, separate with a semicolon ;","This field corresponds to the unabbreviated, expanded, name of the slaveholder doing the manumitting on the manumission, as determined by metadata collectors (see https://en.wiktionary.org/wiki/Appendix:Abbreviations_for_English_given_names)",This field corresponds to the gender of the slaveholder that metadata collectors assumed when reading the manumission. Genders are assumed by pronouns listed in the manumission and common genders associated with the name listed.,"This field corresponds to names listed in the manumissions under the caveat of ""sealed and delivered in the presence of."" Names are transcribed as they are written in the manumission. Separate multiple names with a semicolon ;","This field corresponds to the unabbreviated, expanded, names listed on the manumission under the caveat of ""sealed and delivered in the presence of."" Unabbreviated names are determined by the metadata collectors",This field corresponds to the name of the Quaker Monthly Meeting that the slaveholder was a part of,This field corresponds to name of the scribe who created the summary of the manumission on the verso of the corresponding manumission. Names are transcribed as they are written in the manumission.,"This field corresponds to the unabbreviated, expanded, name of the scribe listed on the verso of the corresponding manumission, as determined by metadata collectors (see https://en.wiktionary.org/wiki/Appendix:Abbreviations_for_English_given_names)","for families: 
m = mother
f = father
gm = grandmother
c = child
b = brother
s = sister
h = husband
w = wife",,
_,_,_,_,1,A00179697_001,1782-01-30,_,DE?,"Hendry, Matthew;
Hendry, Margaret",,"male(Matthew);
female(Margaret)",,,Duck Creek,,,first half of manumission is cut off,WGC,WGC
Margaret,26,26,female,1,A00179697_001,1782-01-31,"Appoquinimik, 
Newcastle County",DE,"Deakyne, Joseph",,male,"Fisher, Finnick; 
Fisher, Joshua",,Duck Creek,,,,WGC,WGC
Eleanor,4,18,female,1,A00179697_001,1782-01-31,"Appoquinimik, 
Newcastle County",DE,"Deakyne, Joseph",,male,"Fisher, Finnick; 
Fisher, Joshua",,Duck Creek,,,,WGC,WGC
Patrick,9 months,21,male,1,A00179697_001,1782-01-31,"Appoquinimik, 
Newcastle County",DE,"Deakyne, Joseph",,male,"Fisher, Finnick; 
Fisher, Joshua",,Duck Creek,,,,WGC,WGC
Ebenezer,36(Ebenezer),36(Ebenezer),male,2,A00179697_002,1782-02-18,Kent County (?),DE,"Fisher, Jabez",,male,"Jay, Baptis; 
Heaverlo, Daniel",,Duck Creek,,,"county is cut off, probably Kent",WGC,WGC
John,56(John),56(John),male,2,A00179697_002,1782-02-18,Kent County (?),DE,"Fisher, Jabez",,male,"Jay, Baptis; 
Heaverlo, Daniel",,Duck Creek,,,"county is cut off, probably Kent",WGC,WGC
Minta,14,18,female,2-3,A00179697_003,1782-02-27,Dover,DE,"Smithers, Jn.","Smithers, John",male,"Smithers, Nath; 
Smithers, Rachel",,Duck Creek,,,,WGC,WGC
Henry,50,50,male,3-4,A00179697_004,1782-03-18,"Murderkill] Hundred, 
Kent County",DE,"Hazle, Benjamin",,male,"Gordon, Polly; 
Mifflin, Warner",,Duck Creek,,,,WGC,WGC
Jane,16,18,female,4,A00179697_004,1782-04-13,Kent County,DE,"Beauchamp, John",,male,"Jenkins, Jospeh; 
Mifflin, Warner",,Duck Creek,,,"first witness' name is cut off, probably joseph",WGC,WGC
Solomon,38,38,male,5-6,A00179697_005,1782-03-16,"Murderkill Hundred, 
Kent County",DE,"Caldwell, Timothy; 
Caldwell, Sarah",,male; female,"Peterkin, David; 
Gatlin, Franey; 
Dickenson, John; 
Dickenson, Lydia; 
Mifflin, Warner",,Duck Creek,,,,WGC,WGC
Charles,36,36,male,5-6,A00179697_005,1782-03-16,"Murderkill Hundred, 
Kent County",DE,"Caldwell, Timothy; 
Caldwell, Sarah",,male; female,"Peterkin, David; 
Gatlin, Franey; 
Dickenson, John; 
Dickenson, Lydia; 
Mifflin, Warner",,Duck Creek,,,,WGC,WGC
Mariam,37,37,female,5-6,A00179697_005,1782-03-16,"Murderkill Hundred, 
Kent County",DE,"Caldwell, Timothy; 
Caldwell, Sarah",,male; female,"Peterkin, David; 
Gatlin, Franey; 
Dickenson, John; 
Dickenson, Lydia; 
Mifflin, Warner",,Duck Creek,,,,WGC,WGC
Ham,36,36,male,5-6,A00179697_005,1782-03-16,"Murderkill Hundred, 
Kent County",DE,"Caldwell, Timothy; 
Caldwell, Sarah",,male; female,"Peterkin, David; 
Gatlin, Franey; 
Dickenson, John; 
Dickenson, Lydia; 
Mifflin, Warner",,Duck Creek,,,,WGC,WGC
